,"total_population_cvd_death_rate_per_100,000_residents_cdc_2016_2021"
0,282.4666666666667
1,239.70000000000002
2,336.76666666666665
3,324.5
4,298.59999999999997
5,312.3
6,329.50000000000006
7,382.3333333333333
8,286.3666666666667
9,287.53333333333336
10,323.26666666666665
11,349.0
12,318.93333333333334
13,335.7666666666667
14,342.3666666666666
15,319.7
16,316.3333333333333
17,339.0333333333333
18,286.26666666666665
19,335.79999999999995
20,327.49999999999994
21,345.2
22,307.56666666666666
23,403.8
24,331.43333333333334
25,314.93333333333334
26,326.7
27,346.7
28,321.53333333333336
29,324.70000000000005
30,308.5
31,313.2666666666667
32,320.43333333333334
33,287.4666666666667
34,305.7
35,356.0
36,274.8666666666666
37,296.26666666666665
38,266.96666666666664
39,323.36666666666673
40,217.66666666666666
41,302.23333333333335
42,350.1666666666667
43,368.0333333333333
44,262.59999999999997
45,348.7666666666667
46,325.93333333333334
47,321.6666666666667
48,317.09999999999997
49,308.0
50,260.93333333333334
51,313.53333333333336
52,344.6666666666667
53,315.5
54,302.43333333333334
55,332.7333333333333
56,271.8
57,217.20000000000002
58,276.59999999999997
59,323.8
60,349.43333333333334
61,314.06666666666666
62,293.06666666666666
63,484.7333333333333
64,295.96666666666664
65,381.4666666666667
66,307.73333333333335
67,88.10000000000001
68,127.26666666666667
69,182.03333333333333
70,259.6666666666667
71,0.0
72,0.0
73,58.5
74,170.76666666666665
75,272.23333333333335
76,207.5
77,179.76666666666665
78,176.36666666666667
79,181.9333333333333
80,187.66666666666666
81,185.13333333333333
82,184.19999999999996
83,19.400000000000002
84,214.0666666666667
85,172.1
86,312.7
87,218.23333333333335
88,279.90000000000003
89,166.83333333333334
90,201.4666666666667
91,142.76666666666668
92,153.5
93,204.20000000000002
94,176.4333333333333
95,70.33333333333333
96,194.1
97,199.56666666666663
98,206.5666666666667
99,157.6
100,229.23333333333335
101,212.5
102,208.86666666666665
103,237.80000000000004
104,186.20000000000002
105,259.2
106,216.5333333333333
107,189.16666666666666
108,168.56666666666666
109,167.53333333333333
110,186.0
111,183.46666666666667
112,326.1333333333333
113,318.7
114,247.23333333333335
115,215.76666666666665
116,307.8
117,359.56666666666666
118,319.1666666666667
119,275.8666666666666
120,334.6333333333333
121,305.26666666666665
122,295.1666666666667
123,231.13333333333335
124,312.46666666666664
125,308.43333333333334
126,281.7
127,289.8333333333333
128,278.09999999999997
129,295.23333333333335
130,307.8666666666667
131,306.06666666666666
132,410.09999999999997
133,282.3333333333333
134,256.43333333333334
135,302.6666666666667
136,268.2666666666667
137,284.73333333333335
138,276.56666666666666
139,271.53333333333336
140,322.1333333333334
141,292.5
142,338.79999999999995
143,350.4333333333334
144,269.90000000000003
145,306.1666666666667
146,329.99999999999994
147,294.1333333333334
148,306.26666666666665
149,293.3666666666666
150,327.3
151,330.3
152,331.8333333333333
153,301.3666666666666
154,260.53333333333336
155,345.59999999999997
156,292.7666666666667
157,338.3333333333333
158,364.8
159,354.0333333333333
160,284.3333333333333
161,316.03333333333336
162,294.59999999999997
163,310.6
164,261.1666666666667
165,262.3666666666667
166,308.06666666666666
167,368.59999999999997
168,306.53333333333336
169,270.2
170,278.0
171,245.83333333333334
172,272.8333333333333
173,235.73333333333335
174,297.3333333333333
175,272.0
176,298.53333333333336
177,298.7
178,301.6666666666667
179,323.3333333333333
180,233.19999999999996
181,300.96666666666664
182,252.33333333333334
183,355.2
184,312.6
185,320.5
186,307.43333333333334
187,169.53333333333333
188,243.9
189,215.79999999999998
190,227.9
191,210.46666666666667
192,208.73333333333335
193,166.83333333333334
194,224.29999999999998
195,174.4
196,245.16666666666666
197,227.73333333333332
198,273.8666666666666
199,191.46666666666667
200,241.23333333333335
201,258.06666666666666
202,229.73333333333335
203,210.63333333333333
204,237.63333333333335
205,204.66666666666666
206,211.73333333333335
207,126.2
208,223.66666666666666
209,196.86666666666667
210,223.0333333333333
211,246.46666666666667
212,157.6
213,156.70000000000002
214,174.86666666666665
215,177.4333333333333
216,181.5333333333333
217,177.76666666666665
218,223.1
219,229.63333333333333
220,213.26666666666665
221,180.4333333333333
222,255.4
223,187.29999999999998
224,156.63333333333333
225,227.36666666666667
226,188.4666666666667
227,151.9
228,180.03333333333333
229,149.16666666666666
230,151.23333333333335
231,255.4
232,233.16666666666666
233,231.70000000000002
234,183.9666666666667
235,173.76666666666665
236,246.19999999999996
237,220.5333333333333
238,243.26666666666665
239,223.16666666666666
240,258.4666666666667
241,213.9
242,185.83333333333334
243,183.5
244,264.3
245,188.83333333333334
246,222.4333333333333
247,162.26666666666665
248,186.96666666666667
249,216.83333333333334
250,244.13333333333333
251,154.86666666666667
252,148.96666666666667
253,149.63333333333333
254,195.5666666666667
255,150.06666666666666
256,212.39999999999998
257,158.76666666666665
258,198.86666666666667
259,187.73333333333332
260,223.5666666666667
261,183.36666666666667
262,177.4
263,127.23333333333335
264,75.5
265,199.4
266,158.9
267,212.16666666666666
268,161.70000000000002
269,165.16666666666666
270,110.23333333333335
271,152.36666666666665
272,163.9
273,198.66666666666666
274,157.66666666666666
275,182.63333333333335
276,233.13333333333333
277,177.9333333333333
278,183.13333333333333
279,100.16666666666667
280,163.13333333333333
281,196.13333333333333
282,192.73333333333335
283,177.33333333333334
284,223.66666666666666
285,173.80000000000004
286,195.0666666666667
287,185.96666666666667
288,191.9333333333333
289,181.29999999999998
290,254.0666666666667
291,123.5
292,124.03333333333332
293,187.46666666666667
294,68.2
295,225.76666666666665
296,193.70000000000002
297,178.53333333333333
298,200.29999999999998
299,100.13333333333333
300,153.6
301,157.23333333333332
302,69.93333333333334
303,188.86666666666667
304,78.66666666666667
305,166.83333333333334
306,173.4333333333333
307,170.1
308,188.76666666666665
309,166.0
310,186.26666666666665
311,180.29999999999998
312,180.30000000000004
313,188.1
314,187.63333333333333
315,187.9666666666667
316,210.83333333333334
317,238.16666666666666
318,216.46666666666667
319,215.5
320,244.4
321,183.4
322,247.9
323,235.5333333333333
324,223.6
325,220.9
326,211.1
327,249.4
328,157.13333333333333
329,292.3333333333333
330,220.4
331,134.66666666666666
332,234.9
333,164.26666666666665
334,222.73333333333335
335,247.63333333333333
336,251.0666666666667
337,207.1
338,243.46666666666667
339,228.16666666666666
340,205.5
341,168.36666666666667
342,235.69999999999996
343,257.76666666666665
344,216.5
345,239.53333333333333
346,233.13333333333335
347,212.5
348,209.79999999999998
349,328.3
350,186.46666666666667
351,267.3333333333333
352,218.83333333333334
353,251.83333333333334
354,209.4333333333333
355,153.5
356,202.4333333333333
357,247.79999999999998
358,232.46666666666667
359,283.7333333333333
360,167.5666666666667
361,248.5666666666667
362,166.23333333333332
363,206.23333333333335
364,174.1
365,224.79999999999998
366,209.5
367,248.86666666666667
368,212.36666666666665
369,227.4666666666667
370,173.83333333333334
371,210.73333333333335
372,184.20000000000002
373,225.4
374,223.83333333333334
375,221.0
376,146.63333333333333
377,204.0666666666667
378,157.76666666666668
379,195.93333333333337
380,175.5666666666667
381,246.79999999999998
382,250.4333333333333
383,329.1666666666667
384,243.86666666666665
385,237.13333333333333
386,201.16666666666666
387,319.3
388,299.43333333333334
389,320.8
390,332.8666666666666
391,285.59999999999997
392,336.1333333333333
393,238.20000000000002
394,236.5
395,285.43333333333334
396,334.7
397,297.8
398,330.7333333333333
399,280.7333333333333
400,285.8666666666666
401,276.3
402,246.9333333333333
403,251.76666666666665
404,291.1333333333333
405,262.8
406,278.3
407,255.46666666666667
408,309.2666666666667
409,290.0333333333333
410,247.23333333333335
411,233.0333333333333
412,240.80000000000004
413,226.66666666666666
414,327.90000000000003
415,203.9
416,238.4
417,314.8333333333333
418,270.8333333333333
419,426.5
420,200.89999999999998
421,313.7
422,259.23333333333335
423,171.73333333333335
424,309.4
425,237.16666666666666
426,308.7333333333333
427,281.2
428,311.3
429,204.16666666666666
430,324.06666666666666
431,185.0666666666667
432,259.93333333333334
433,270.59999999999997
434,267.8333333333333
435,284.1
436,341.2333333333333
437,231.73333333333335
438,256.0333333333333
439,278.23333333333335
440,365.8999999999999
441,258.8333333333333
442,231.4
443,179.83333333333334
444,322.06666666666666
445,176.46666666666667
446,324.3666666666667
447,203.5
448,243.20000000000002
449,297.23333333333335
450,231.0
451,284.9666666666667
452,260.56666666666666
453,233.73333333333335
454,175.26666666666665
455,228.0666666666667
456,200.86666666666665
457,291.2666666666667
458,325.9666666666667
459,210.16666666666666
460,244.69999999999996
461,281.40000000000003
462,247.5666666666667
463,275.3666666666667
464,317.6333333333333
465,266.3
466,263.26666666666665
467,337.43333333333334
468,329.56666666666666
469,284.59999999999997
470,289.8
471,246.9
472,287.43333333333334
473,256.8
474,298.00000000000006
475,275.7
476,256.3333333333333
477,226.0666666666667
478,216.73333333333335
479,275.40000000000003
480,220.9333333333333
481,316.59999999999997
482,257.56666666666666
483,296.3
484,304.70000000000005
485,215.20000000000002
486,332.6666666666667
487,336.6333333333334
488,279.8333333333333
489,241.79999999999998
490,287.4
491,244.5666666666667
492,272.56666666666666
493,337.8
494,257.3333333333333
495,214.0666666666667
496,224.9333333333333
497,249.73333333333332
498,315.7
499,242.1
500,298.76666666666665
501,254.76666666666668
502,344.7
503,270.40000000000003
504,256.1333333333333
505,321.3333333333333
506,219.1
507,284.2333333333333
508,307.0
509,226.4666666666667
510,236.36666666666665
511,269.03333333333336
512,298.6333333333334
513,278.23333333333335
514,307.1666666666667
515,253.43333333333337
516,304.46666666666664
517,294.76666666666665
518,262.3
519,301.09999999999997
520,287.00000000000006
521,223.13333333333333
522,268.56666666666666
523,266.2
524,313.93333333333334
525,298.59999999999997
526,220.6
527,315.46666666666664
528,335.2333333333333
529,299.1333333333334
530,314.6666666666667
531,222.83333333333334
532,387.43333333333334
533,338.8666666666666
534,260.8
535,327.53333333333336
536,316.0333333333333
537,272.40000000000003
538,278.56666666666666
539,269.3
540,235.6
541,213.83333333333334
542,244.86666666666667
543,273.06666666666666
544,298.8
545,324.06666666666666
546,255.4
547,192.0
548,172.16666666666666
549,168.5
550,172.5
551,170.33333333333331
552,187.69999999999996
553,153.23333333333335
554,244.26666666666665
555,197.86666666666667
556,204.9333333333333
557,238.16666666666666
558,118.43333333333332
559,165.13333333333333
560,193.29999999999998
561,234.03333333333333
562,192.26666666666665
563,230.56666666666663
564,186.70000000000002
565,223.9333333333333
566,235.66666666666666
567,224.66666666666666
568,222.36666666666667
569,194.6
570,175.6
571,208.29999999999998
572,198.9333333333333
573,235.86666666666665
574,238.63333333333333
575,217.20000000000002
576,175.96666666666667
577,236.20000000000002
578,219.53333333333333
579,198.5666666666667
580,174.9333333333333
581,206.53333333333333
582,186.16666666666666
583,188.13333333333333
584,267.93333333333334
585,215.6
586,199.5666666666667
587,224.20000000000002
588,210.66666666666666
589,231.6
590,200.6
591,210.1
592,168.16666666666666
593,213.53333333333333
594,121.43333333333334
595,221.29999999999998
596,219.69999999999996
597,296.8666666666667
598,264.5
599,210.16666666666666
600,249.63333333333333
601,245.96666666666667
602,210.03333333333333
603,233.76666666666665
604,249.20000000000002
605,181.03333333333333
606,224.66666666666666
607,275.7
608,271.6666666666667
609,251.70000000000002
610,247.76666666666665
611,226.23333333333335
612,259.46666666666664
613,232.86666666666667
614,242.36666666666667
615,214.1
616,202.16666666666666
617,178.83333333333334
618,265.1333333333333
619,255.1
620,219.96666666666667
621,220.03333333333333
622,258.76666666666665
623,239.26666666666665
624,247.70000000000002
625,278.56666666666666
626,255.66666666666666
627,227.83333333333334
628,262.56666666666666
629,234.86666666666667
630,287.26666666666665
631,253.86666666666665
632,240.9333333333333
633,270.3
634,224.9666666666667
635,236.80000000000004
636,270.2
637,268.9666666666667
638,196.5333333333333
639,208.29999999999998
640,186.86666666666667
641,281.29999999999995
642,177.53333333333333
643,246.4333333333333
644,169.96666666666667
645,243.63333333333335
646,245.30000000000004
647,235.29999999999998
648,245.13333333333333
649,218.9333333333333
650,227.4
651,255.66666666666666
652,274.4666666666667
653,300.76666666666665
654,237.79999999999998
655,233.79999999999998
656,257.1666666666667
657,260.93333333333334
658,200.70000000000002
659,202.73333333333335
660,205.70000000000002
661,234.03333333333333
662,224.9333333333333
663,236.26666666666665
664,268.4666666666667
665,241.13333333333335
666,224.9333333333333
667,229.80000000000004
668,236.4
669,211.73333333333335
670,236.63333333333333
671,226.86666666666667
672,270.0
673,243.70000000000002
674,237.63333333333333
675,249.29999999999998
676,231.29999999999998
677,263.16666666666663
678,218.13333333333333
679,248.86666666666665
680,249.63333333333335
681,225.33333333333334
682,259.9
683,239.16666666666666
684,199.66666666666666
685,219.53333333333333
686,271.3666666666667
687,255.6
688,242.26666666666665
689,258.3
690,247.36666666666665
691,271.8
692,261.8333333333333
693,238.5
694,219.16666666666666
695,213.6
696,240.5
697,215.4333333333333
698,214.56666666666663
699,236.69999999999996
700,218.30000000000004
701,242.4333333333333
702,259.03333333333336
703,232.69999999999996
704,205.23333333333335
705,195.03333333333333
706,217.29999999999998
707,264.3666666666667
708,286.20000000000005
709,228.53333333333333
710,261.90000000000003
711,254.4333333333333
712,229.80000000000004
713,245.0
714,237.29999999999998
715,273.56666666666666
716,248.66666666666666
717,236.39999999999998
718,296.53333333333336
719,236.63333333333333
720,260.43333333333334
721,227.80000000000004
722,259.1666666666667
723,250.9333333333333
724,259.8333333333333
725,250.9
726,175.5
727,206.66666666666666
728,224.33333333333334
729,212.0666666666667
730,250.33333333333334
731,273.93333333333334
732,242.66666666666666
733,249.13333333333333
734,256.93333333333334
735,231.33333333333334
736,268.09999999999997
737,261.23333333333335
738,233.20000000000002
739,260.4666666666667
740,234.83333333333334
741,237.6
742,258.59999999999997
743,273.0
744,246.03333333333333
745,239.13333333333333
746,238.73333333333335
747,242.76666666666665
748,253.20000000000002
749,256.7666666666667
750,202.26666666666665
751,258.93333333333334
752,251.83333333333334
753,265.6666666666667
754,238.23333333333332
755,199.66666666666666
756,259.43333333333334
757,253.46666666666667
758,244.4333333333333
759,255.66666666666666
760,244.53333333333333
761,217.4666666666667
762,220.23333333333335
763,262.09999999999997
764,228.0666666666667
765,266.8666666666666
766,247.73333333333335
767,240.79999999999998
768,280.3333333333333
769,227.73333333333335
770,252.16666666666666
771,247.4
772,283.00000000000006
773,224.13333333333333
774,282.8333333333333
775,223.26666666666665
776,203.03333333333333
777,225.5
778,250.76666666666665
779,240.46666666666667
780,312.0333333333333
781,299.3666666666667
782,245.79999999999998
783,245.86666666666667
784,240.73333333333335
785,270.53333333333336
786,296.9666666666667
787,237.36666666666667
788,232.33333333333334
789,236.13333333333333
790,220.1
791,253.33333333333334
792,252.80000000000004
793,261.93333333333334
794,213.29999999999998
795,196.83333333333334
796,232.5666666666667
797,236.36666666666665
798,227.86666666666667
799,220.9
800,213.66666666666666
801,239.60000000000002
802,224.86666666666665
803,212.9333333333333
804,241.0666666666667
805,203.16666666666666
806,240.13333333333335
807,205.53333333333333
808,276.46666666666664
809,245.96666666666667
810,210.4
811,197.63333333333333
812,233.20000000000002
813,201.9333333333333
814,178.03333333333333
815,242.86666666666667
816,262.40000000000003
817,200.73333333333335
818,231.9333333333333
819,209.53333333333333
820,202.9333333333333
821,205.73333333333335
822,248.03333333333333
823,258.40000000000003
824,236.76666666666665
825,223.4333333333333
826,222.23333333333335
827,241.86666666666667
828,197.16666666666666
829,205.5
830,229.70000000000002
831,227.4
832,222.0
833,248.4666666666667
834,298.76666666666665
835,235.96666666666667
836,214.33333333333334
837,215.29999999999998
838,224.86666666666667
839,194.46666666666667
840,243.0666666666667
841,193.63333333333335
842,200.5666666666667
843,228.13333333333335
844,219.33333333333334
845,277.03333333333336
846,193.23333333333335
847,208.66666666666666
848,245.76666666666665
849,168.83333333333334
850,199.46666666666667
851,263.8666666666666
852,221.03333333333333
853,277.86666666666673
854,190.39999999999998
855,251.36666666666667
856,295.6333333333333
857,271.23333333333335
858,272.73333333333335
859,212.66666666666666
860,207.9
861,185.9666666666667
862,235.23333333333335
863,213.16666666666666
864,154.63333333333333
865,235.5
866,213.70000000000002
867,226.63333333333333
868,213.9
869,257.0
870,216.9666666666667
871,221.6
872,224.23333333333332
873,153.96666666666667
874,166.0
875,234.5666666666667
876,245.63333333333333
877,238.5
878,260.76666666666665
879,275.40000000000003
880,226.69999999999996
881,202.29999999999998
882,262.3
883,263.0
884,219.1
885,195.4
886,213.66666666666666
887,210.19999999999996
888,239.5666666666667
889,261.76666666666665
890,238.29999999999998
891,236.9333333333333
892,302.9
893,223.5
894,262.1333333333333
895,281.5333333333333
896,231.13333333333333
897,233.53333333333333
898,272.0333333333333
899,330.6666666666667
900,176.6
901,242.23333333333335
902,202.66666666666666
903,246.29999999999998
904,249.63333333333333
905,275.1333333333333
906,248.63333333333333
907,274.5
908,210.53333333333333
909,236.0666666666667
910,243.76666666666665
911,189.4
912,241.6
913,256.0
914,197.33333333333334
915,221.16666666666666
916,168.2
917,233.06666666666663
918,248.76666666666665
919,304.6333333333333
920,201.29999999999998
921,206.5666666666667
922,192.5666666666667
923,190.4
924,207.26666666666665
925,238.20000000000002
926,211.79999999999998
927,251.5666666666667
928,226.20000000000002
929,191.9333333333333
930,228.4666666666667
931,236.4
932,208.76666666666665
933,230.79999999999998
934,181.9
935,171.23333333333335
936,309.2
937,246.5
938,293.59999999999997
939,188.5666666666667
940,217.5333333333333
941,209.76666666666665
942,252.16666666666666
943,183.76666666666665
944,226.73333333333335
945,222.23333333333335
946,196.46666666666667
947,210.66666666666666
948,233.5666666666667
949,206.43333333333337
950,239.86666666666665
951,315.6666666666667
952,231.4666666666667
953,275.5333333333333
954,191.26666666666665
955,268.1333333333333
956,200.63333333333333
957,205.6
958,227.6
959,211.6
960,214.16666666666666
961,228.96666666666667
962,206.29999999999998
963,204.76666666666665
964,237.03333333333333
965,200.5666666666667
966,213.9333333333333
967,224.73333333333335
968,223.63333333333335
969,195.66666666666666
970,201.79999999999998
971,222.86666666666665
972,227.70000000000002
973,204.26666666666665
974,177.16666666666666
975,228.33333333333334
976,237.46666666666667
977,217.5
978,190.1
979,188.29999999999998
980,215.13333333333333
981,217.03333333333333
982,207.63333333333333
983,188.63333333333335
984,230.9
985,187.36666666666665
986,200.33333333333334
987,205.83333333333334
988,183.73333333333335
989,205.76666666666665
990,195.19999999999996
991,273.46666666666664
992,261.3
993,255.86666666666667
994,293.06666666666666
995,259.1333333333333
996,240.5333333333333
997,282.4666666666667
998,268.1666666666667
999,326.6333333333333
1000,375.4666666666667
1001,199.13333333333333
1002,265.0333333333333
1003,312.9
1004,239.83333333333334
1005,272.23333333333335
1006,457.3999999999999
1007,241.4333333333333
1008,203.76666666666665
1009,262.93333333333334
1010,319.1666666666667
1011,274.8333333333333
1012,224.89999999999998
1013,266.26666666666665
1014,282.36666666666673
1015,286.1666666666667
1016,246.86666666666667
1017,306.1333333333333
1018,290.3666666666667
1019,356.5
1020,280.6666666666667
1021,336.3333333333333
1022,311.59999999999997
1023,256.23333333333335
1024,249.03333333333333
1025,249.76666666666665
1026,311.2333333333333
1027,197.96666666666667
1028,289.2333333333333
1029,339.90000000000003
1030,263.3
1031,376.8333333333333
1032,286.40000000000003
1033,232.4
1034,274.59999999999997
1035,271.23333333333335
1036,257.2666666666667
1037,289.8
1038,269.3333333333333
1039,267.06666666666666
1040,213.4333333333333
1041,426.43333333333334
1042,302.03333333333336
1043,284.03333333333336
1044,252.26666666666665
1045,221.0
1046,293.1333333333334
1047,314.50000000000006
1048,353.06666666666666
1049,230.79999999999998
1050,196.66666666666666
1051,323.66666666666663
1052,214.80000000000004
1053,305.56666666666666
1054,288.5
1055,242.53333333333333
1056,300.3666666666666
1057,300.8666666666667
1058,359.1333333333334
1059,365.9333333333334
1060,303.1333333333334
1061,308.06666666666666
1062,255.60000000000002
1063,274.73333333333335
1064,264.5
1065,269.3
1066,243.0
1067,320.3333333333333
1068,239.4333333333333
1069,257.1666666666667
1070,302.1666666666667
1071,304.8666666666666
1072,248.33333333333334
1073,333.8333333333333
